When it happens.	Kung magkagayon.
My cousin takes one medicine every morning.	Ang pinsan ko ay umiinom ng isang gamot tuwing umaga.
My cousin told me to drive to Boston.	Sinabihan ako ng pinsan ko na magmaneho papuntang Boston.
My cousin wants you to drive to Boston.	Gusto ng pinsan ko ikaw ang magmaneho papuntang Boston.
My cousins are coming in a few days.	Dadating ang mga pinsan ko makalipas ang ilang araw.
My coworker experienced a seizure last night.	Nakaranas ang katrabaho ko ng sumpong kagabi.
My coworker has a personalized coffee cup.	May pinapersonal na tasa ng kape ang aking katrabaho.
My coworker was also a student just like you.	Yung katrabaho ko ay estudyante rin gaya mo.
My credit card was rejected by the ATM.	Ang credit card ko ay hindi tinanggap ng ATM.
My dad is popping pills because of you.	Umiinom ng gamot ang tatay ko dahil sa'yo.
My dashing days are past and gone.	ang mga masisigla kong araw ay lumipas at tapos na.
My daughter doesn't know how to drive.	Hindi marunong magmaneho anak kong babae.
My daughter is getting married in June.	Ang anak kong babae ay ikakasal na sa Hunyo.
My daughter is getting married in June.	Magpapakasal na sa Hunyo ang anak kong babae.
My daughter is scared to swim in the sea.	Natatakot anak kong babae lumangoy sa dagat.
My daughter is to get married in June.	Ikakasal ang aking anak na babae sa Hunyo.
My daughter is to get married in June.	Ikakasala na sa Hunyo ang aking anak na babae.
My daughter is to get married in June.	Magpapakasal na sa Hunyo ang aking anak na babae.
My daughter likes to play with dolls.	Ang anak kong babae ay mahilig maglaro ng manika.
My daughter will get married in June.	Ang anak kong babae ay ikakasal na sa Hunyo.
My decision is final and irrevocable.	Ang aking desisyon ay pinal na at di na mababawi.
My desk is full of unsorted files.	Ang aking mesa ay puno ng mga hindi pa naayos na mga file.
My dog follows me whenever I leave the room.	Sinusundan ako ng aso ko tuwing umaalis ako sa silid.
My dog is lonely when I go to school.	Ang aso ko ay nalulungkot kapag pumapasok ako sa paaralan.
My dog wants to go to school with me.	Gustong pumasok ng aking aso sa paaralan kasama ako.
My dream is to take a round-the-world trip.	Ang pangarap ko ay magbiyaheng palibot ng mundo.
My ESL teacher's always giving detentions.	Laging nandedetendtion ang guro ko sa ESL.
My eyes can't function properly today.	Ang aking mga mata ay hindi gumagana ng maayos ngayon.
My father and grandfather were craftsmen.	Ang tatay at lolo ko ay mga artisano.
My father and grandfather were craftsmen.	Ang aking ama at lolo ay mga manggagawa.
My father didn't allow me to marry him.	Hindi ako pinayagan ng tatay ko na pakasalan ko siya.
My father doesn't drink hard liquor.	Hindi umiinom ng matapang na alak ang tatay ko.
My father goes jogging every morning.	Ang tatay ko ay nagjojogging tuwing umaga.
My father is an architect, not an engineer.	Arkitekto ang tatay ko, hindi inhenyero.
My father is going to go abroad next week.	Mangingibang-bansa ang tatay ko sa susunod na linggo.
My father is looking for a large black bag.	Naghahanap yung itay ko ng malaking itim na maletin.
My father is looking for a large black shirt.	Naghahanap yung itay ko ng malaking itim na kamisa.
My father is looking for a large black watch.	Naghahanap yung itay ko ng malaking itim na relos.
My father is looking for a large blue bag.	Naghahanap yung itay ko ng malaking bughaw na maletin.
My father is looking for a large blue watch.	Naghahanap yung itay ko ng malaking bughaw na relos.
My father is looking for a large cyan bag.	Naghahanap yung itay ko ng malaking cyan na maletin.
My father is looking for a large cyan shirt.	Naghahanap yung itay ko ng malaking cyan na kamisa.
My father is looking for a large cyan watch.	Naghahanap yung itay ko ng malaking cyan na relos.
My father is looking for a large green bag.	Naghahanap yung itay ko ng malaking berde na maletin.
My father is looking for a large green watch.	Naghahanap yung itay ko ng malaking berde na relos.
My father is looking for a large pink bag.	Naghahanap yung itay ko ng malaking pink na maletin.
My father is looking for a large pink shirt.	Naghahanap yung itay ko ng malaking pink na kamisa.
My father is looking for a large pink watch.	Naghahanap yung itay ko ng malaking pink na relos.
My father is looking for a large red bag.	Naghahanap yung itay ko ng malaking pula na maletin.
My father is looking for a large red shirt.	Naghahanap yung itay ko ng malaking pula na kamisa.
My father is looking for a large red watch.	Naghahanap yung itay ko ng malaking pula na relos.
My father is looking for a large white bag.	Naghahanap yung itay ko ng malaking puti na maletin.
My father is looking for a large white shirt.	Naghahanap yung itay ko ng malaking puti na kamisa.
My father is looking for a large white watch.	Naghahanap yung itay ko ng malaking puti na relos.
My father is looking for a small black bag.	Naghahanap yung itay ko ng maliit na itim na maletin.
My father is looking for a small black watch.	Naghahanap yung itay ko ng maliit na itim na relos.
My father is looking for a small cyan bag.	Naghahanap yung itay ko ng maliit na cyan na maletin.
My father is looking for a small cyan shirt.	Naghahanap yung itay ko ng maliit na cyan na kamisa.
My father is looking for a small cyan watch.	Naghahanap yung itay ko ng maliit na cyan na relos.
My father is looking for a small pink bag.	Naghahanap yung itay ko ng maliit na pink na maletin.
My father is looking for a small pink shirt.	Naghahanap yung itay ko ng maliit na pink na kamisa.
My father is looking for a small pink watch.	Naghahanap yung itay ko ng maliit na pink na relos.
My father is looking for a small red bag.	Naghahanap yung itay ko ng maliit na pula na maletin.
My father is looking for a small red shirt.	Naghahanap yung itay ko ng maliit na pula na kamisa.
My father is looking for a small red watch.	Naghahanap yung itay ko ng maliit na pula na relos.
My father is looking for a small white bag.	Naghahanap yung itay ko ng maliit na puti na maletin.
My father is looking for a small white watch.	Naghahanap yung itay ko ng maliit na puti na relos.
My father is looking for large black pants.	Naghahanap yung itay ko ng malaking itim na salawal.
My father is looking for large black shoes.	Naghahanap yung itay ko ng malaking itim na sapatos.
My father is looking for large black shorts.	Naghahanap yung itay ko ng malaking itim na korto.
My father is looking for large blue pants.	Naghahanap yung itay ko ng malaking bughaw na salawal.
My father is looking for large blue shoes.	Naghahanap yung itay ko ng malaking bughaw na sapatos.
My father is looking for large blue shorts.	Naghahanap yung itay ko ng malaking bughaw na korto.
My father is looking for large cyan pants.	Naghahanap yung itay ko ng malaking cyan na salawal.
My father is looking for large cyan shoes.	Naghahanap yung itay ko ng malaking cyan na sapatos.
My father is looking for large cyan shorts.	Naghahanap yung itay ko ng malaking cyan na korto.
My father is looking for large green pants.	Naghahanap yung itay ko ng malaking berde na salawal.
My father is looking for large green shoes.	Naghahanap yung itay ko ng malaking berde na sapatos.
My father is looking for large green shorts.	Naghahanap yung itay ko ng malaking berde na korto.
My father is looking for large pink pants.	Naghahanap yung itay ko ng malaking pink na salawal.
My father is looking for large pink shoes.	Naghahanap yung itay ko ng malaking pink na sapatos.
My father is looking for large pink shorts.	Naghahanap yung itay ko ng malaking pink na korto.
My father is looking for large red clothes.	Naghahanap yung itay ko ng malaking pula na kasuotan.
My father is looking for large red pants.	Naghahanap yung itay ko ng malaking pula na salawal.
My father is looking for large red shoes.	Naghahanap yung itay ko ng malaking pula na sapatos.
My father is looking for large red shorts.	Naghahanap yung itay ko ng malaking pula na korto.
My father is looking for large white pants.	Naghahanap yung itay ko ng malaking puti na salawal.
My father is looking for large white shoes.	Naghahanap yung itay ko ng malaking puti na sapatos.
My father is looking for large white shorts.	Naghahanap yung itay ko ng malaking puti na korto.
My father is looking for large yellow shorts.	Naghahanap yung itay ko ng malaking dilaw na korto.
My father is looking for small black pants.	Naghahanap yung itay ko ng maliit na itim na salawal.
My father is looking for small black shoes.	Naghahanap yung itay ko ng maliit na itim na sapatos.
My father is looking for small black shorts.	Naghahanap yung itay ko ng maliit na itim na korto.
My father is looking for small blue shorts.	Naghahanap yung itay ko ng maliit na bughaw na korto.
My father is looking for small cyan pants.	Naghahanap yung itay ko ng maliit na cyan na salawal.
My father is looking for small cyan shoes.	Naghahanap yung itay ko ng maliit na cyan na sapatos.
My father is looking for small cyan shorts.	Naghahanap yung itay ko ng maliit na cyan na korto.
My father is looking for small green shorts.	Naghahanap yung itay ko ng maliit na berde na korto.
My father is looking for small pink pants.	Naghahanap yung itay ko ng maliit na pink na salawal.
My father is looking for small pink shoes.	Naghahanap yung itay ko ng maliit na pink na sapatos.
My father is looking for small pink shorts.	Naghahanap yung itay ko ng maliit na pink na korto.
My father is looking for small red pants.	Naghahanap yung itay ko ng maliit na pula na salawal.
My father is looking for small red shoes.	Naghahanap yung itay ko ng maliit na pula na sapatos.
My father is looking for small red shorts.	Naghahanap yung itay ko ng maliit na pula na korto.
My father is looking for small white pants.	Naghahanap yung itay ko ng maliit na puti na salawal.
My father is looking for small white shoes.	Naghahanap yung itay ko ng maliit na puti na sapatos.
My father is looking for small white shorts.	Naghahanap yung itay ko ng maliit na puti na korto.
My father is now traveling abroad.	Ang tatay ko ay naglalakbay papunta sa ibang bansa ngayon.
My father is scared to swim in the sea at night.	Natatakot tatay ko lumangoy sa dagat kapag gabi.
My father made me a delicious lunch.	Ginawa ako ng masarap na tanghalian ng tatay ko.
My father made me a delicious lunch.	Ipinaggawa ako ng tatay ko ng masarap na pananghalian.
My father neither drinks nor smokes.	Hindi umiinom o naninigarilyo ang tatay ko.
My father neither smokes nor drinks.	Ang tatay ko ay hindi umiinom o naninigarilyo.
My father neither smokes nor drinks.	Hindi umiinom ng alak ko naninigarilyo ang tatay ko.
My father objected to my traveling alone.	Ayaw ng tatay ko na maglakbay ako ng mag-isa.
My father takes a bath before supper.	Ang tatay ko ay naliligo bago maghapunan.
My father takes five medicines every evening.	Ang tatay ko ay umiinom ng limang gamot tuwing gabi.
My father takes one medicine every evening.	Ang tatay ko ay umiinom ng isang gamot tuwing gabi.
My father takes one medicine every evening.	Ang aking tatay ay umiinom ng isang gamot tuwing gabi.
My father takes one medicine every morning.	Ang tatay ko ay umiinom ng isang gamot tuwing umaga.
My father takes six medicines every evening.	Ang tatay ko ay umiinom ng anim na gamot tuwing gabi.
My father takes ten medicines every evening.	Ang tatay ko ay umiinom ng sampung gamot tuwing gabi.
My father told me to drive to Boston.	Sinabihan ako ng tatay ko na magmaneho papuntang Boston.
My father usually comes home at seven.	Madalas umuwi ang tatay ko nang alas siyete.
My father usually comes home at six.	Madalas umuuwi ang tatay ko sa bahay nang alas sais.
My father wants to make train reservations.	Magpapareserba kasi sa tren ang tatay ko.
My father wants you to drive to Boston.	Gusto ng tatay ko ikaw ang magmaneho papuntang Boston.
My father was promoted to president.	Ang tatay ko ay na-promote sa pagiging presidente.
My father will travel abroad next year.	Maglalakbay sa ibang bansa ang tatay ko sa sunod na taon.
My father worked hard night and day.	Ang tatay ko ay nagtrabaho nang mabuti araw at gabi.
My favorite color is the color black.	Ang paborito kong kulay ang kulay ay ang kulay itim.
My favorite color is the color black.	Ang aking paboritong kulay ang kulay ay ang kulay itim.
My favorite color is the color blue.	Ang paborito kong kulay ang kulay ay ang kulay bughaw.
My favorite color is the color blue.	Ang aking paboritong kulay ang kulay ay ang kulay bughaw.
My favorite color is the color green.	Ang paborito kong kulay ang kulay ay ang kulay berde.
My favorite color is the color green.	Ang paborito kong kulay ang kulay ay ang kulay luntian.
My favorite color is the color green.	Ang aking paboritong kulay ang kulay ay ang kulay berde.
My favorite color is the color green.	Ang aking paboritong kulay ang kulay ay ang kulay luntian.
My favorite color is the color red.	Ang paborito kong kulay ang kulay ay ang kulay pula.
My favorite color is the color red.	Ang aking paboritong kulay ang kulay ay ang kulay pula.
My favorite color is the color violet.	Ang paborito kong kulay ang kulay ay ang kulay lila.
My favorite color is the color violet.	Ang aking paboritong kulay ang kulay ay ang kulay lila.
My favorite color is the color white.	Ang paborito kong kulay ang kulay ay ang kulay puti.
My favorite color is the color white.	Ang aking paboritong kulay ang kulay ay ang kulay puti.
My firend can't let the girl out of his sight.	Hindi maalis sa tingin ng kaibigan ko yung babae.
My first choice is to be a lawyer.	Ang aking unang pagpipilian ay maging abogado.
My first day in the university was rather boring.	Medyo mainip ang unang araw ko sa unibersidad.
My flight number is 1234567.	Ang numero ng aking sasakyan na eroplano ay 1234567.
My friend is scared to swim in the sea.	Natatakot kaibigan ko lumangoy sa dagat.
My friend is working as a barista.	Ang aking kaibigan ay nagtatrabaho bilang isang barista.
My friend saw a girl without a top.	Nakakita ng isang babaeng walang pangitaas ang kaibigan ko.
My friends gave us a tour of Paris.	Binigyan ako ng mga kaibigan ko ng isang paglilibot sa Paris.
My friends had never gone to the USA either.	Hindi pa rin nakararating ang mga kaibigan ko sa USA.
My friends hadn't ever gone to France.	Hindi pa nakararating ang aking mga kaibigan sa France.
My friends visited me in the hospital.	Binisita ako ng mga kaibigan ko sa Ospital.
My gift for you is the smile in my heart.	Ang regalo ko para sa'yo ay ang ngiti sa aking puso.
My grandfather died five years ago.	Limang taon na ang nakalipas nang namatay ang lolo ko.
My grandfather gave me a birthday present.	Binigyan ako ng lolo ko ng regalo sa aking kaarawan.
My grandfather had a successful career.	Nagkaroon ng matagumpay na karera ang lolo ko.
My grandfather had a successful career.	Ang lolo ko ay nagkaroon ng matagumpay na karera.
My grandfather is scared to swim in the sea.	Natatakot lolo ko lumangoy sa dagat.
My grandfather shouldn't have been driving.	Hindi dapat nagmamaneho ang lolo ko.
My grandfather told me to drive to Boston.	Sinabihan ako ng lolo ko na magmaneho papuntang Boston.
My grandfather wants you to drive to Boston.	Gusto ng lolo ko ikaw ang magmaneho papuntang Boston.
My grandmother finished her work quickly.	Mabilis na tinapos ng lola ko ang kanyang trabaho.
My grandmother finished her work quickly.	Tinapos nang mabilis ng lola ko ang kanyang trabaho.
My grandmother is scared to swim in the sea.	Natatakot lola ko lumangoy sa dagat.
My grandmother likes traveling by train.	Ang lola ko ay mahilig maglakbay gamit ng tren.
My grandmother shouldn't have been driving.	Hindi dapat nagmamaneho ang lola ko.
My grandmother told me to drive to Boston.	Sinabihan ako ng lola ko na magmaneho papuntang Boston.
My grandmother turns 100 this July.	Ang aking lola ay magiging 100 ngayong Hulyo.
My grandmother wants you to drive to Boston.	Gusto ng lola ko ikaw ang magmaneho papuntang Boston.
My heart made its choce and it chose you.	Ang puso ko ay pumili at pinili ay ikaw.
My height is 5 feet 6 inches.	Ang tangkad ko ay limang talampakan at anim na pulgada.
My home is far from where I stay.	Ang aking tahanan ay malayo sa kung saan aako tumutuloy.
My hope is associated with my wisdom.	Ang pag-asa ko ay kaakibat ng aking dunong.
My husband dove for the phone.	Ang aking asawa ay gumawa ng kalapati para sa telepono.
My husband watches the TV in the evening.	Ang asawa ko ay nanonood ng TV sa gabi.
My kids have their summer break soon.	Malapit nang magbakasyon na ang mga anak ko.
My laptop froze and reset on its own.	Ang aking laptop ay nag-hang at nag-reset mag-isa.
My last stop before returning home.	Ang aking huling paghinto bago bumalik sa bahay.
My little sister will understand me now.	maiintindihan na rin ako ng aking bunsong kapatid.
My major is medieval European history.	Ang aking medyor ay kasaysayan ng Europa.
My mom bought me this toy when I was 8.	Binili sa akin ito ng nanay ko noong ako ay 8.
My mom doesn't speak English very well.	Hindi kaya makipag-usap ng nanay ko sa Ingles.
My mom doesn't speak English very well.	Ang nanay ko ay hindi ganun karunong mag-Ingles.
My mom told me that I might get lost.	Sinabihan ako ng nanay ko na baka mawala ako.
My money is lacking to buy lunch.	Kulang ang aking pera para bumili ng tanghalian.
My mother could speak five languages.	Nakakasalita ang nanay ko ng limang lingguwahe.
My mother doesn't speak much English.	Hindi masyado marunong mag-Ingles ang nanay ko.
My mother has been sick for two days.	Ang nanay ko ay dalawang araw nang may sakit.
My mother has been sick since last month.	May sakit ang nanay ko simula pa nung nakaraang buwan.
My mother is knitting me a new sweater.	Ang nanay ko ay nananahi ng bagong sweater.
My mother is looking for a large black bag.	Naghahanap yung inay ko ng malaking itim na maletin.
My mother is looking for a large black shirt.	Naghahanap yung inay ko ng malaking itim na kamisa.
My mother is looking for a large black watch.	Naghahanap yung inay ko ng malaking itim na relos.
My mother is looking for a large blue bag.	Naghahanap yung inay ko ng malaking bughaw na maletin.
My mother is looking for a large blue watch.	Naghahanap yung inay ko ng malaking bughaw na relos.
My mother is looking for a large cyan bag.	Naghahanap yung inay ko ng malaking cyan na maletin.
My mother is looking for a large cyan shirt.	Naghahanap yung inay ko ng malaking cyan na kamisa.
My mother is looking for a large cyan watch.	Naghahanap yung inay ko ng malaking cyan na relos.
My mother is looking for a large green bag.	Naghahanap yung inay ko ng malaking berde na maletin.
My mother is looking for a large green watch.	Naghahanap yung inay ko ng malaking berde na relos.
My mother is looking for a large pink bag.	Naghahanap yung inay ko ng malaking pink na maletin.
My mother is looking for a large pink shirt.	Naghahanap yung inay ko ng malaking pink na kamisa.
My mother is looking for a large pink watch.	Naghahanap yung inay ko ng malaking pink na relos.
My mother is looking for a large red bag.	Naghahanap yung inay ko ng malaking pula na maletin.
My mother is looking for a large red shirt.	Naghahanap yung inay ko ng malaking pula na kamisa.
My mother is looking for a large red watch.	Naghahanap yung inay ko ng malaking pula na relos.
My mother is looking for a large white bag.	Naghahanap yung inay ko ng malaking puti na maletin.
My mother is looking for a large white shirt.	Naghahanap yung inay ko ng malaking puti na kamisa.
My mother is looking for a large white watch.	Naghahanap yung inay ko ng malaking puti na relos.
My mother is looking for a small black bag.	Naghahanap yung inay ko ng maliit na itim na maletin.
My mother is looking for a small black watch.	Naghahanap yung inay ko ng maliit na itim na relos.
My mother is looking for a small cyan bag.	Naghahanap yung inay ko ng maliit na cyan na maletin.
My mother is looking for a small cyan shirt.	Naghahanap yung inay ko ng maliit na cyan na kamisa.
My mother is looking for a small cyan watch.	Naghahanap yung inay ko ng maliit na cyan na relos.
My mother is looking for a small pink bag.	Naghahanap yung inay ko ng maliit na pink na maletin.
My mother is looking for a small pink shirt.	Naghahanap yung inay ko ng maliit na pink na kamisa.
My mother is looking for a small pink watch.	Naghahanap yung inay ko ng maliit na pink na relos.
My mother is looking for a small red bag.	Naghahanap yung inay ko ng maliit na pula na maletin.
My mother is looking for a small red shirt.	Naghahanap yung inay ko ng maliit na pula na kamisa.
My mother is looking for a small red watch.	Naghahanap yung inay ko ng maliit na pula na relos.
My mother is looking for a small white bag.	Naghahanap yung inay ko ng maliit na puti na maletin.
My mother is looking for a small white watch.	Naghahanap yung inay ko ng maliit na puti na relos.
My mother is looking for large black pants.	Naghahanap yung inay ko ng malaking itim na salawal.
My mother is looking for large black shoes.	Naghahanap yung inay ko ng malaking itim na sapatos.
My mother is looking for large black shorts.	Naghahanap yung inay ko ng malaking itim na korto.
My mother is looking for large blue pants.	Naghahanap yung inay ko ng malaking bughaw na salawal.
My mother is looking for large blue shoes.	Naghahanap yung inay ko ng malaking bughaw na sapatos.
My mother is looking for large blue shorts.	Naghahanap yung inay ko ng malaking bughaw na korto.
My mother is looking for large cyan pants.	Naghahanap yung inay ko ng malaking cyan na salawal.
My mother is looking for large cyan shoes.	Naghahanap yung inay ko ng malaking cyan na sapatos.
My mother is looking for large cyan shorts.	Naghahanap yung inay ko ng malaking cyan na korto.
My mother is looking for large green pants.	Naghahanap yung inay ko ng malaking berde na salawal.
My mother is looking for large green shoes.	Naghahanap yung inay ko ng malaking berde na sapatos.
My mother is looking for large green shorts.	Naghahanap yung inay ko ng malaking berde na korto.
My mother is looking for large pink pants.	Naghahanap yung inay ko ng malaking pink na salawal.
My mother is looking for large pink shoes.	Naghahanap yung inay ko ng malaking pink na sapatos.
My mother is looking for large pink shorts.	Naghahanap yung inay ko ng malaking pink na korto.
My mother is looking for large red clothes.	Naghahanap yung inay ko ng malaking pula na kasuotan.
My mother is looking for large red pants.	Naghahanap yung inay ko ng malaking pula na salawal.
My mother is looking for large red shoes.	Naghahanap yung inay ko ng malaking pula na sapatos.
My mother is looking for large red shorts.	Naghahanap yung inay ko ng malaking pula na korto.
My mother is looking for large white pants.	Naghahanap yung inay ko ng malaking puti na salawal.
My mother is looking for large white shoes.	Naghahanap yung inay ko ng malaking puti na sapatos.
My mother is looking for large white shorts.	Naghahanap yung inay ko ng malaking puti na korto.
My mother is looking for large yellow shorts.	Naghahanap yung inay ko ng malaking dilaw na korto.
My mother is looking for small black pants.	Naghahanap yung inay ko ng maliit na itim na salawal.
My mother is looking for small black shoes.	Naghahanap yung inay ko ng maliit na itim na sapatos.
My mother is looking for small black shorts.	Naghahanap yung inay ko ng maliit na itim na korto.
My mother is looking for small blue shorts.	Naghahanap yung inay ko ng maliit na bughaw na korto.
My mother is looking for small cyan pants.	Naghahanap yung inay ko ng maliit na cyan na salawal.
My mother is looking for small cyan shoes.	Naghahanap yung inay ko ng maliit na cyan na sapatos.
My mother is looking for small cyan shorts.	Naghahanap yung inay ko ng maliit na cyan na korto.
My mother is looking for small green shorts.	Naghahanap yung inay ko ng maliit na berde na korto.
My mother is looking for small pink pants.	Naghahanap yung inay ko ng maliit na pink na salawal.
My mother is looking for small pink shoes.	Naghahanap yung inay ko ng maliit na pink na sapatos.
My mother is looking for small pink shorts.	Naghahanap yung inay ko ng maliit na pink na korto.
My mother is looking for small red pants.	Naghahanap yung inay ko ng maliit na pula na salawal.
My mother is looking for small red shoes.	Naghahanap yung inay ko ng maliit na pula na sapatos.
My mother is looking for small red shorts.	Naghahanap yung inay ko ng maliit na pula na korto.
My mother is looking for small white pants.	Naghahanap yung inay ko ng maliit na puti na salawal.
My mother is looking for small white shoes.	Naghahanap yung inay ko ng maliit na puti na sapatos.
My mother is looking for small white shorts.	Naghahanap yung inay ko ng maliit na puti na korto.
My mother is making my father a cake.	Ipinaggagawa ng nanay ko ang tatay ko ng cake.
My mother is scared to swim in the sea at night.	Natatakot nanay ko lumangoy sa dagat kapag gabi.
My mother seldom watches TV at night.	Bihira manood ng TV ang nanay ko sa gabi.
My mother seldom watches TV at night.	Minsan lang nanonood ang nanay ko ng TV kapag gabi.
My mother takes five medicines every evening.	Ang nanay ko ay umiinom ng limang gamot tuwing gabi.
My mother takes one medicine every evening.	Ang nanay ko ay umiinom ng isang gamot tuwing gabi.
My mother takes one medicine every evening.	Ang aking nanay ay umiinom ng isang gamot tuwing gabi.
My mother takes one medicine every morning.	Ang nanay ko ay umiinom ng isang gamot tuwing umaga.
My mother takes six medicines every evening.	Ang nanay ko ay umiinom ng anim na gamot tuwing gabi.
My mother takes ten medicines every evening.	Ang nanay ko ay umiinom ng sampung gamot tuwing gabi.
My mother told me to drive to Boston.	Sinabihan ako ng nanay ko na magmaneho papuntang Boston.
My mother tried to reconcile the couple.	Sinubukan ng nanay ko na pagbatiin ang magkasintahan.
My mother wants you to drive to Boston.	Gusto ng nanay ko ikaw ang magmaneho papuntang Boston.
My mother's going to the dentist tomorrow.	Pupunta ang nanay ko sa dentista bukas.
My neighbor drives a very old car.	Nagmamaneho ng lumang kotse ang kapitbahay ko.
My neighbor is scared to swim in the sea.	Natatakot kapitbahay ko lumangoy sa dagat.
My nephew is scared to swim in the sea.	Natatakot pamangkin kong lalaki lumangoy sa dagat.
My new dress is black and white.	Ang bago kong damit ay may kulay na itim at puti.
My new friend and I often talk to each other.	Lagi kaming magkausap ng bago kong kaibigan.
My niece is scared to swim in the sea.	Natatakot pamangkin kong babae lumangoy sa dagat.
My officemates are drinking enthusiasts.	Ang mga kaopisinahan ko ay mahilig sa pag-inom.
My older brother manages that company.	Ang kuya ko ang namahala sa kumpanya na iyun.
My older sister goes jogging every day.	Ang ate ko ay nagjo-jogging araw-araw.
My parents forbade me to see Tom again.	Pinagbawalan ako ng mga magulang ko na kitain si Tom.
My pen leaked inside my bag.	Ang aking panulat ay nagtae sa loob ng aking bag.
My pencil fell off the edge of my desk.	Ang lapis ko ay nahulog mula sa lamesa ko.
My pens always run out of ink.	Ang mga panulat ko ay laging nawawalan ng tinta.
My plan is to spend the New Year's holiday in Australia.	plano kong mag Bagong taon sa Australia.
My price is 6 and you want it for 1.50.	6 nga ang presyo ko tapos tatawarin mo ng 1.50.
My room is bigger than her room.	Ang aking silid ay mas malaki kaysa sa kaniyang silid.
My score on the exam yesterday is very low.	Napakababa ng nakuha ko sa pagsusulit yesterday.
My season ticket expires on March 31.	Mag-eexpire ang season ticket ko sa ika-31 ng Marso.
My second choice is economics.	Ang aking pangalawang pagpipilian ay ekonomiks.
My sibling does not eat potatoes.	Ang kapatid ko hindi kumakain ng mga patatas.
My sibling is scared to swim in the sea.	Natatakot kapatid ko lumangoy sa dagat.
My sibling shouldn't have been driving.	Hindi dapat nagmamaneho ang kapatid ko.
My sibling told me to drive to Boston.	Sinabihan ako ng kapatid ko na magmaneho papuntang Boston.
My sibling wants you to drive to Boston.	Gusto ng kapatid ko ikaw ang magmaneho papuntang Boston.
My silly nose ring problem.	ang aking nakakatawang problema sa singsing ng ilong.
My sister bought five yards of cloth.	Ang kapatid kong babae ay bumili ng limang yarda ng tela.
My sister has become a good pianist.	Ang kapatid kong babae ay magaling tumugtog ng piano.
My sister insisted on going with me.	Pinilit ako ng kapatid kong babae na sumama ako.
My sister is always weighing herself.	Laging nagtitimbang ang kapatid kong babae.
My sister is not a high school student.	Ang kapatid kong babae ay hindi high school student.
My sister plays the piano every day.	Araw-araw tumutugtog ng piano ang kapatid kong babae.
My sister will get married early next year.	ikakasal ang aking kapatid sa susunod na taon.
My sister's going to the dentist tomorrow.	Pupunta ang kapatid ko sa dentista bukas.
My son can count up to a hundred now.	Kayang magbilang ng anak kong lalaki hanggang isang daan.
My son is not old enough for school.	Ang anak kong lalaki ay hindi pa pwede pumasok sa school.
My son is scared to swim in the sea.	Natatakot anak kong lalaki lumangoy sa dagat.
My teacher and I played it for hours at a time.	ilang oras kaming naglalaro ng aking guro.
My teacher told me to drive to Boston.	Sinabihan ako ng guro ko na magmaneho papuntang Boston.
My tendency to wilt in the 110-degree sun.	ang aking pagkahilig sa 110-degree na araw.
My third choice is literature.	Ang aking pangatlong pagpipilian ay literatura.
My TV broke, so I had to take it for repair.	Nasira ang TV ko, kaya ipinagawa ko iyun.
My TV broke, so I had to take it for repair.	Nasira ang TV ko, kaya ipinagawa ko siya.
My TV broke, so I had to take it for repair.	Nasira ang TV ko, kaya ipinagawa ko 'yun.
My uncle is looking for a large cyan bag.	Naghahanap yung tiyuhin ko ng malaking cyan na maletin.
My uncle is looking for a large cyan watch.	Naghahanap yung tiyuhin ko ng malaking cyan na relos.
My uncle is looking for a large pink bag.	Naghahanap yung tiyuhin ko ng malaking pink na maletin.
My uncle is looking for a large pink watch.	Naghahanap yung tiyuhin ko ng malaking pink na relos.
My uncle is looking for a large red bag.	Naghahanap yung tiyuhin ko ng malaking pula na maletin.
My uncle is looking for a large red shirt.	Naghahanap yung tiyuhin ko ng malaking pula na kamisa.
My uncle is looking for a large red watch.	Naghahanap yung tiyuhin ko ng malaking pula na relos.
My uncle is looking for a small red bag.	Naghahanap yung tiyuhin ko ng maliit na pula na maletin.
My uncle is looking for a small red watch.	Naghahanap yung tiyuhin ko ng maliit na pula na relos.
My uncle is looking for large black shorts.	Naghahanap yung tiyuhin ko ng malaking itim na korto.
My uncle is looking for large cyan pants.	Naghahanap yung tiyuhin ko ng malaking cyan na salawal.
My uncle is looking for large cyan shoes.	Naghahanap yung tiyuhin ko ng malaking cyan na sapatos.
My uncle is looking for large cyan shorts.	Naghahanap yung tiyuhin ko ng malaking cyan na korto.
My uncle is looking for large pink pants.	Naghahanap yung tiyuhin ko ng malaking pink na salawal.
My uncle is looking for large pink shoes.	Naghahanap yung tiyuhin ko ng malaking pink na sapatos.
My uncle is looking for large pink shorts.	Naghahanap yung tiyuhin ko ng malaking pink na korto.
My uncle is looking for large red pants.	Naghahanap yung tiyuhin ko ng malaking pula na salawal.
My uncle is looking for large red shoes.	Naghahanap yung tiyuhin ko ng malaking pula na sapatos.
My uncle is looking for large red shorts.	Naghahanap yung tiyuhin ko ng malaking pula na korto.
My uncle is looking for large white shorts.	Naghahanap yung tiyuhin ko ng malaking puti na korto.
My uncle is looking for small cyan shorts.	Naghahanap yung tiyuhin ko ng maliit na cyan na korto.
My uncle is looking for small pink shorts.	Naghahanap yung tiyuhin ko ng maliit na pink na korto.
My uncle is looking for small red pants.	Naghahanap yung tiyuhin ko ng maliit na pula na salawal.
My uncle is looking for small red shoes.	Naghahanap yung tiyuhin ko ng maliit na pula na sapatos.
